Game type,Rating range,Piece,Colour,Value (%),Games' count
Blitz,1600-1900,bishop,black,33.40585862874124,10325
Blitz,1600-1900,rook,white,46.29163439194423,10325
Blitz,1600-1900,rook,black,45.87667161961367,10325
Blitz,1600-1900,queen,white,97.56003098373355,10325
Blitz,1600-1900,queen,black,96.91148376140947,10325
Blitz,1900-2200,pawn,white,9.135311143270624,1383
Blitz,1900-2200,pawn,black,8.035714285714286,1383
Blitz,1900-2200,knight,white,33.82778581765557,1383
Blitz,1900-2200,knight,black,35.105519480519476,1383
Blitz,1900-2200,bishop,white,34.87698986975398,1383
Blitz,1900-2200,bishop,black,34.1314935064935,1383
Blitz,1900-2200,rook,white,47.829232995658465,1383
Blitz,1900-2200,rook,black,46.87500000000001,1383
Blitz,1900-2200,queen,white,99.34876989869753,1383
Blitz,1900-2200,queen,black,98.78246753246754,1383
Blitz,2200-2500,pawn,white,8.928571428571429,146
Blitz,2200-2500,pawn,black,9.429824561403509,146
Blitz,2200-2500,knight,white,33.92857142857143,146
Blitz,2200-2500,knight,black,35.74561403508772,146
Blitz,2200-2500,bishop,white,38.392857142857146,146
Blitz,2200-2500,bishop,black,34.429824561403514,146
Blitz,2200-2500,rook,white,46.42857142857143,146
Blitz,2200-2500,rook,black,47.368421052631575,146
Blitz,2200-2500,queen,white,100.0,146
Blitz,2200-2500,queen,black,96.05263157894737,146
Correspondence,700-1000,pawn,white,8.053691275167784,171
Correspondence,700-1000,pawn,black,9.375,171
Correspondence,700-1000,knight,white,36.241610738255034,171
Correspondence,700-1000,knight,black,40.0,171
Correspondence,700-1000,bishop,white,37.751677852349,171
Correspondence,700-1000,bishop,black,40.0,171
Correspondence,700-1000,rook,white,45.63758389261745,171
Correspondence,700-1000,rook,black,42.5,171
Correspondence,700-1000,queen,white,93.95973154362414,171
Correspondence,700-1000,queen,black,92.5,171
Correspondence,1000-1300,pawn,white,10.0,8
Correspondence,1000-1300,pawn,black,8.333333333333332,8
Correspondence,1000-1300,knight,white,45.0,8
Correspondence,1000-1300,knight,black,33.33333333333333,8
Correspondence,1000-1300,bishop,white,30.0,8
Correspondence,1000-1300,bishop,black,33.33333333333333,8
Correspondence,1000-1300,rook,white,40.0,8
Correspondence,1000-1300,rook,black,50.0,8
Correspondence,1000-1300,queen,white,100.0,8
Correspondence,1000-1300,queen,black,100.0,8
Correspondence,1300-1600,pawn,white,6.048387096774195,54
Correspondence,1300-1600,pawn,black,4.375,54
Correspondence,1300-1600,knight,white,28.225806451612907,54
Correspondence,1300-1600,knight,black,32.5,54
Correspondence,1300-1600,bishop,white,27.41935483870968,54
Correspondence,1300-1600,bishop,black,37.5,54
Correspondence,1300-1600,rook,white,38.70967741935483,54
Correspondence,1300-1600,rook,black,40.0,54
Correspondence,1300-1600,queen,white,90.32258064516128,54
Correspondence,1300-1600,queen,black,85.0,54
Correspondence,1600-1900,pawn,white,0.0,0
Correspondence,1600-1900,pawn,black,0.0,0
Correspondence,1600-1900,knight,white,0.0,0
Correspondence,1600-1900,knight,black,0.0,0
Correspondence,1600-1900,bishop,white,0.0,0
Correspondence,1600-1900,bishop,black,0.0,0
Correspondence,1600-1900,rook,white,0.0,0
Correspondence,1600-1900,rook,black,0.0,0
Correspondence,1600-1900,queen,white,0.0,0
Correspondence,1600-1900,queen,black,0.0,0
Correspondence,1900-2200,pawn,white,0.0,0
Correspondence,1900-2200,pawn,black,0.0,0
Correspondence,1900-2200,knight,white,0.0,0
Correspondence,1900-2200,knight,black,0.0,0
Correspondence,1900-2200,bishop,white,0.0,0
Correspondence,1900-2200,bishop,black,0.0,0
Correspondence,1900-2200,rook,white,0.0,0
Correspondence,1900-2200,rook,black,0.0,0
Correspondence,1900-2200,queen,white,0.0,0
Correspondence,1900-2200,queen,black,0.0,0
Correspondence,2200-2500,pawn,white,10.15625,127
Correspondence,2200-2500,pawn,black,9.228971962616821,127
Correspondence,2200-2500,knight,white,37.5,127
Correspondence,2200-2500,knight,black,35.2803738317757,127
Correspondence,2200-2500,bishop,white,35.9375,127
Correspondence,2200-2500,bishop,black,33.87850467289719,127
Correspondence,2200-2500,rook,white,50.0,127
Correspondence,2200-2500,rook,black,47.19626168224299,127
Correspondence,2200-2500,queen,white,100.0,127
Correspondence,2200-2500,queen,black,95.79439252336448,127
